result	status	path
SKIP	M	pstack/.cursor-plugin/plugin.json
TAKE-THEIRS	M	README-UPSTREAM.md
SKIP	M	pstack/docs/guide/01-setup.md
SKIP	M	pstack/docs/guide/02-poteto-mode.md
SKIP	M	pstack/docs/guide/03-understand.md
SKIP	M	pstack/docs/guide/08-principles.md
SKIP	M	pstack/docs/guide/README.md
MERGE	M	plugins/pstack/skills/architect/SKILL.md
TAKE-THEIRS	M	plugins/pstack/skills/architect/references/rationale-template.md
TAKE-THEIRS	M	plugins/pstack/skills/architect/references/runner-prompt.md
CONFLICT	M	plugins/pstack/skills/arena/SKILL.md
CONFLICT	M	plugins/pstack/skills/automate-me/SKILL.md
MERGE	M	plugins/pstack/skills/blast-radius/SKILL.md
MERGE	M	plugins/pstack/skills/figure-it-out/SKILL.md
CONFLICT	M	plugins/pstack/skills/how/SKILL.md
DEL	D	plugins/pstack/skills/how/references/critic-prompt.md
DEL	D	plugins/pstack/skills/how/references/critique-rubric.md
TAKE-THEIRS	M	plugins/pstack/skills/how/references/explainer-prompt.md
TAKE-THEIRS	M	plugins/pstack/skills/how/references/explorer-prompt.md
CONFLICT	M	plugins/pstack/skills/interrogate/SKILL.md
TAKE-THEIRS	M	plugins/pstack/skills/interrogate/references/code-quality-review.md
TAKE-THEIRS	M	plugins/pstack/skills/interrogate/references/lead-judgment.md
TAKE-THEIRS	M	plugins/pstack/skills/interrogate/references/rubric.md
CONFLICT	M	plugins/pstack/skills/no-comments/SKILL.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/SKILL.md
MERGE	M	plugins/pstack/skills/poteto-mode/playbooks/authoring-a-skill.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/autonomous-run.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/autopilot-full.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/autopilot-stack.md
TAKE-OURS	M	plugins/pstack/skills/poteto-mode/playbooks/babysit.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/bug-fix.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/eval.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/feature.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/hillclimb.md
TAKE-THEIRS	M	plugins/pstack/skills/poteto-mode/playbooks/investigation.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/multi-phase-plan.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/opening-a-pr.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/orchestrate.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/pause-safely.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/perf-issue.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/prototype.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/refactoring.md
MERGE	M	plugins/pstack/skills/poteto-mode/playbooks/runtime-forensics.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/session-pickup.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/shipping.md
TAKE-THEIRS	M	plugins/pstack/skills/poteto-mode/playbooks/trace-forensics.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/visual-parity.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/worktree-cleanup.md
ADD	A	plugins/pstack/skills/principle-attack-the-premise/SKILL.md
MERGE	M	plugins/pstack/skills/principle-boundary-discipline/SKILL.md
MERGE	M	plugins/pstack/skills/principle-build-the-lever/SKILL.md
MERGE	M	plugins/pstack/skills/principle-encode-lessons-in-structure/SKILL.md
MERGE	M	plugins/pstack/skills/principle-experience-first/SKILL.md
MERGE	M	plugins/pstack/skills/principle-fix-root-causes/SKILL.md
MERGE	M	plugins/pstack/skills/principle-foundational-thinking/SKILL.md
MERGE	M	plugins/pstack/skills/principle-guard-the-context-window/SKILL.md
MERGE	M	plugins/pstack/skills/principle-laziness-protocol/SKILL.md
MERGE	M	plugins/pstack/skills/principle-migrate-callers-then-delete-legacy-apis/SKILL.md
MERGE	M	plugins/pstack/skills/principle-minimize-reader-load/SKILL.md
MERGE	M	plugins/pstack/skills/principle-model-the-domain/SKILL.md
MERGE	M	plugins/pstack/skills/principle-never-block-on-the-human/SKILL.md
MERGE	M	plugins/pstack/skills/principle-prove-it-works/SKILL.md
MERGE	M	plugins/pstack/skills/principle-redesign-from-first-principles/SKILL.md
MERGE	M	plugins/pstack/skills/principle-separate-before-serializing-shared-state/SKILL.md
MERGE	M	plugins/pstack/skills/principle-sequence-verifiable-units/SKILL.md
CONFLICT	M	plugins/pstack/skills/principle-subtract-before-you-add/SKILL.md
ADD	A	plugins/pstack/skills/principle-test-behavior-not-implementation/SKILL.md
MERGE	M	plugins/pstack/skills/principle-type-system-discipline/SKILL.md
MERGE	M	plugins/pstack/skills/recall/SKILL.md
CONFLICT	M	plugins/pstack/skills/reflect/SKILL.md
MERGE	M	plugins/pstack/skills/reflect/references/divergent-reviewer.md
MERGE	M	plugins/pstack/skills/reflect/references/judgment-reviewer.md
MERGE	M	plugins/pstack/skills/reflect/references/synthesizer.md
MERGE	M	plugins/pstack/skills/reflect/references/tooling-reviewer.md
CONFLICT	M	plugins/pstack/skills/setup-pstack/SKILL.md
CONFLICT	M	plugins/pstack/skills/show-me-your-work/SKILL.md
CONFLICT	M	plugins/pstack/skills/swarm/SKILL.md
MERGE	M	plugins/pstack/skills/tdd/SKILL.md
MERGE	M	plugins/pstack/skills/teach/SKILL.md
MERGE	M	plugins/pstack/skills/technical-writing/SKILL.md
MERGE	M	plugins/pstack/skills/typescript-best-practices/SKILL.md
TAKE-THEIRS	M	plugins/pstack/skills/typescript-best-practices/references/patterns.md
MERGE	M	plugins/pstack/skills/unslop/SKILL.md
CONFLICT	M	plugins/pstack/skills/why/SKILL.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/epistemics.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/investigator-prompt.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/source-playbook.md
CONFLICT	M	plugins/pstack/skills/why/references/sources/databricks.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/sources/datadog.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/sources/incident-postmortem.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/sources/linear.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/sources/notion.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/sources/sentry.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/sources/slack.md
TAKE-THEIRS	M	plugins/pstack/skills/why/references/synthesizer-prompt.md
